,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
225,South America,6688579,+2737,+201,211692,5293800
226,Europe,3797402,+25519,+192,209970,2160014
227,Africa,1298948,+1625,+33,31164,1034316
228,Oceania,29289,+76,+5,784,24733
229,,721,,,15,651
230,World,27207542,+153399,+2640,885816,19291415
231,USA,6441847,+10695,+139,192957,3708450
232,India,4196616,+85777,+1060,71739,3241203
233,Brazil,4123000,,+36,126266,3296702
234,Russia,1025505,+5195,+61,17820,840949
235,Peru,683702,,,29687,506422
236,Colombia,658456,,,21156,507770
237,South Africa,636884,,,14779,561204
238,Mexico,629409,+6319,+475,67326,438754
239,Spain,517133,,,29418,N/A
240,Argentina,471806,,+68,9807,349132
241,Chile,422510,+2076,+41,11592,394399
242,Iran,386658,+1992,+139,22293,333900
243,UK,347152,+2988,+2,41551,N/A
244,Bangladesh,325157,+1592,+32,4479,221275
245,France,324777,+7071,,30724,87447
246,Saudi Arabia,320688,+756,+32,4081,296737
247,Pakistan,298509,+484,+2,6342,285898
248,Turkey,279806,+1578,+53,6673,251105
249,Italy,277634,+1297,+7,35541,210015
250,Iraq,256719,,,7422,195259
251,Germany,251226,+170,,9401,226208
252,Philippines,237365,+2839,+85,3875,184687
253,Indonesia,194109,+3444,+85,8025,138575
254,Ukraine,135894,+2107,+35,2846,62227
255,Canada,131653,+158,+2,9145,116136
256,Israel,130157,+1221,+5,1012,102462
257,Bolivia,120241,+661,+55,5398,69566
258,Qatar,120095,+231,+1,203,116998
259,Ecuador,118045,,,6724,102304
260,Kazakhstan,106301,+76,,1588,99523
261,Egypt,99712,,,5511,77208
262,Dominican Republic,99333,+557,+5,1845,72567
263,Panama,96305,,,2075,69223
264,Romania,95014,+1150,+43,3893,40307
265,Kuwait,89582,+619,+4,544,80521
266,Belgium,87825,+651,+5,9906,18555
267,Oman,87072,+692,+23,728,82406
268,Sweden,84985,,,5835,N/A
269,Guatemala,77481,,,2845,65595
